Check ID,Check Name,Limb,"Requirement from ""What to Look For""",Canonical Path,Evidence Categories to Compare Against,Trigger Field,Notes
CHK-001,Suitability completeness against client information,Consistency,Essential facts (personal details) stated in the report are consistent with the evidence,parties.clients[].firstName;parties.clients[].lastName;parties.clients[].age;parties.clients[].dateOfBirth;parties.clients[].maritalStatus;parties.dependants[];parties.clients[].health,A;B;C,isAdvisedCase,"ValueMatch. Tolerance: Age may differ by 1 year where the fact find predates the report; date of birth must match exactly.. Sections: Residency; Contact Address. 4 queries, 2 Core (Q1.1.1, Q1.1.2, Q1.1.3, Q1.1.4)"
CHK-001,Suitability completeness against client information,Consistency,Tax status stated in the report is consistent with the evidence,parties.clients[].taxStatus;parties.clients[].taxStatus.incomeTaxBand;parties.clients[].taxStatus.mpaaTriggered;parties.clients[].taxStatus.annualAllowance;parties.clients[].territorialProfile,B,isAdvisedCase,"ValueMatch. 3 queries, 2 Core (Q1.2.1, Q1.2.2, Q1.2.3)"
CHK-001,Suitability completeness against client information,Consistency,Employment details are consistent with the evidence,parties.clients[].employments[];parties.clients[].employments[].occupation;parties.clients[].employments[].intendedRetirementAge,B,isAdvisedCase,"ValueMatch. 2 queries, 2 Core (Q1.3.1, Q1.3.2)"
CHK-001,Suitability completeness against client information,Consistency,Income and expenditure figures are consistent with the evidence,financialPosition.incomes[];financialPosition.expenditures[];financialPosition.totals;financialPosition.expenditures[].isEssential,B,isAdvisedCase,"ValueMatch. Tolerance: Normalise to a monthly equivalent before comparing. Treat a difference of more than 5% as a mismatch; below that, rounding.. Sections: Current Monthly Cash Flow; Total Net Monthly Income; Total Monthly Disposable Income. 4 queries, 3 Core (Q1.4.1, Q1.4.2, Q1.4.3, Q1.4.4)"
CHK-001,Suitability completeness against client information,Consistency,Assets and liabilities are consistent with the evidence,financialPosition.assets[];financialPosition.liabilities[],B,isAdvisedCase,"ValueMatch. 3 queries, 2 Core (Q1.5.1, Q1.5.2, Q1.5.3)"
CHK-001,Suitability completeness against client information,Consistency,State pension entitlement is consistent with the evidence,parties.clients[].statePension;parties.clients[].statePension.statePensionAge,B;F,isAdvisedCase,"ValueMatch. Tolerance: Weekly and annual statements of the same entitlement must reconcile at x52.. 2 queries, 2 Core (Q1.6.1, Q1.6.2)"
CHK-001,Suitability completeness against client information,Consistency,"Existing products (pensions, investments and protection plans) are consistent with the evidence",existingArrangements[].provider;existingArrangements[].policyNumber;existingArrangements[].currentValue;existingArrangements[].transferValue;existingArrangements[].contributions[];existingArrangements[].planType;existingArrangements[].holdings[],B;E,isAdvisedCase,"ValueMatch. Tolerance: Plan values must match the provider statement to the penny where the same as-at date is used; otherwise flag the date gap, not the value.. Sections: Money Purchase Pension Schemes; Personal Pensions; Final Salary Pension Schemes. 7 queries, 6 Core (Q1.7.1, Q1.7.2, Q1.7.3, Q1.7.4, Q1.7.5, Q1.7.6, Q1.7.7)"
CHK-001,Suitability completeness against client information,Consistency,Data mismatches and unsupported figures within the report itself,extractionReport.internalInconsistencies[],I,isAdvisedCase,"Model-only: compares the report against itself, no evidence sought. ValueMatch. Tolerance: Arithmetic must reconcile within rounding to the nearest pound or 0.01%.. 3 queries, 2 Core (Q1.8.1, Q1.8.2, Q1.8.3)"
CHK-001,Suitability completeness against client information,Consistency,Emergency fund figures stated in the report are consistent with the evidence,financialPosition.emergencyFund;financialPosition.emergencyFund.heldAmount,B,isAdvisedCase,"ValueMatch. 2 queries, 2 Core (Q1.9.1, Q1.9.2)"
CHK-001,Suitability completeness against client information,Consistency,"Values expressed in different frequencies or formats reconcile (weekly/monthly/annual, gross/net, percentages and totals)",financialPosition.incomes[].frequency;financialPosition.incomes[].gross;financialPosition.incomes[].net;financialPosition.incomes[].monthlyEquivalentNet;financialPosition.expenditures[].frequency;financialPosition.expenditures[].monthlyEquivalent;financialPosition.totals.totalMonthlyIncomeNet,B;C,isAdvisedCase,"RangeMatch. Tolerance: Convert to a common frequency and basis before comparing. Agreement within £1 per month, or 1% of an annual figure, is not a mismatch.. Sections: Total Net Monthly Income; Total Monthly Expenditure; Current Monthly Cash Flow. 3 queries, 2 Core (Q1.10.1, Q1.10.2, Q1.10.3)"
